Test Predictions,Actual Values
0.20084609,0.094214285713
0.213778,0.35003571428999997
0.27776802,0.82966071427
0.58113396,1.5652678571399998
1.4566615,3.0034464287000002
3.7215862,4.7293571429000005
6.7816153,6.686375
9.64242,9.0462678571
12.286772,11.211660714199999
14.829168,13.487571428499999
17.346441,16.073857142999998
19.919844,19.1855178571
23.166803,22.9773035704
27.261171,27.378392856999998
31.885555,31.665339285
36.30511,36.285339286
40.847237,40.546232143000005
45.571655,45.242642857
51.09439,51.268589286
57.995358,56.994464286
63.749355,61.320267856
68.00614,66.35475
73.08834,69.84592857
75.9192,73.51230357099999
79.399574,77.004964286
82.94273,80.471839286
86.85258,84.047160715
90.92241,88.040232143
95.227234,93.045142857
100.23171,98.11535714200001
104.113625,103.22566071300001
108.23223,109.916357143
114.47803,116.473946427
120.165184,121.583642855
124.225914,125.376982143
127.303116,129.205964285
131.42793,134.691321429
136.90312,138.97405357399998
142.21545,142.203035715
145.98396,145.342482143
148.40309,148.163875
150.363,150.03766071500002
150.37198,151.400607143
150.13895,152.458660714
150.95094,153.362767857
152.25104,154.136321428
153.14522,154.521982143
152.75905,154.782803571
153.04346,154.95551785900003
153.17587,155.042499999
153.14006,155.054
153.04028,155.054
153.10954,155.054
153.14153,155.054
153.14412,155.054
153.14406,155.054
153.14406,155.054
153.14406,155.054
153.14406,155.054
153.14406,155.054
153.14406,155.054
153.14406,155.054
153.14409,155.054
153.14409,155.054
153.14406,155.054
153.14406,155.054
153.14406,155.054
153.14406,155.054
153.14406,155.054
153.14406,155.054
153.14406,142.682392857
40.97936,5.48
-0.59648496,0.0
-0.10891262,0.0
-0.101424605,0.0
-0.14137954,0.0
0.11418718,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034885,0.0
0.20034885,0.010785714286999998
0.20178916,0.147125
0.22233541,0.51671428572
0.3517313,1.167875
0.9316223,2.10851785717
2.32799,3.3516607144
4.295809,4.3301964286
6.149901,5.7815714285
7.949322,8.3893392858
10.465979,12.173660714199999
14.638719,16.251732142999998
19.570799,20.2085
23.785292,24.317625
28.042072,28.967267857
32.962795,33.569910713
